clinical_effects_trans,clinical_effects_menopause,clinical_effects_hrt,paywall_trans,paywall_menopause,paywall_hrt,provider,link_trans,link_menopause,link_hrt
FALSE,FALSE,FALSE,0,55,55,NEJM,https://www.nejm.org/doi/full/10.1056/NEJMoa2206297,https://www.nejm.org/doi/full/10.1056/NEJMoa2415566,https://www.nejm.org/doi/full/10.1056/NEJMoa2407031
TRUE,TRUE,FALSE,55,55,55,NEJM,https://www.nejm.org/doi/full/10.1056/NEJMoa2411858,https://www.nejm.org/doi/full/10.1056/NEJMoa2407031,https://www.nejm.org/doi/full/10.1056/NEJMoa2405182
TRUE,TRUE,FALSE,0,0,55,NEJM,https://www.nejm.org/doi/full/10.1056/NEJMoa2101016,https://www.nejm.org/doi/full/10.1056/NEJMoa2210140,https://www.nejm.org/doi/full/10.1056/NEJMoa2409932
FALSE,FALSE,FALSE,0,0,55,NEJM,https://www.nejm.org/doi/full/10.1056/NEJMoa2304007,https://www.nejm.org/doi/full/10.1056/NEJMoa2215025,https://www.nejm.org/doi/full/10.1056/NEJMoa2404656
FALSE,FALSE,FALSE,0,0,0,NEJM,https://www.nejm.org/doi/full/10.1056/NEJMoa2211934,https://www.nejm.org/doi/full/10.1056/NEJMoa2206125,https://www.nejm.org/doi/full/10.1056/NEJMoa2307798
FALSE,TRUE,FALSE,0,0,35.95,Lancet,https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(26)00116-X/fulltext,https://www.thelancet.com/journals/lanafr/article/PIIS3050-5011(26)00046-5/fulltext,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(26)00075-6/abstract
FALSE,TRUE,FALSE,0,0,0,Lancet,https://www.thelancet.com/journals/lanam/article/PIIS2667-193X(26)00121-3/fulltext,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(26)00313-2/fulltext,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(26)00180-5/fulltext
TRUE,TRUE,FALSE,0,0,0,Lancet,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(26)00123-4/fulltext,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(26)00222-1/fulltext,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(26)00057-3/fulltext
FALSE,TRUE,FALSE,0,35.95,0,Lancet,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(26)00004-4/abstract,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(26)00053-7/abstract,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(26)00154-4/fulltext
FALSE,FALSE,FALSE,35.95,35.95,0,Lancet,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(26)00078-0/abstract,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(26)00001-X/abstract,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(26)00171-4/fulltext
FALSE,TRUE,TRUE,0,0,0,JAMA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2844133?resultClick=1,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2849168?resultClick=24,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2847514?resultClick=1
TRUE,TRUE,TRUE,238,0,0,JAMA,https://jamanetwork.com/journals/jamadermatology/article-abstract/2844107?resultClick=1,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2844615?resultClick=24,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2844615?resultClick=1
FALSE,TRUE,TRUE,0,0,238,JAMA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2843496?resultClick=1,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2842843?resultClick=24,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2845164?resultClick=1
FALSE,TRUE,TRUE,0,0,238,JAMA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2847993?resultClick=1,https://jamanetwork.com/journals/jamaneurology/article-abstract/2839351?resultClick=24,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2845351?resultClick=1
TRUE,TRUE,TRUE,238,0,0,JAMA,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2842556?resultClick=1,https://jamanetwork.com/journals/jamaoncology/article-abstract/2842808?resultClick=24,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2846152?resultClick=1
TRUE,TRUE,TRUE,0,0,0,TheBMJ,https://www.bmj.com/content/365/bmj.l1652,https://www.bmj.com/content/387/bmj-2024-079525,https://www.bmj.com/content/371/bmj.m3873
FALSE,TRUE,TRUE,184,0,0,TheBMJ,https://www.bmj.com/content/352/bmj.i1657,https://www.bmj.com/content/381/bmj-2023-074778,https://www.bmj.com/content/364/bmj.k4810
FALSE,TRUE,TRUE,184,184,0,TheBMJ,https://www.bmj.com/content/388/bmj.r581,https://www.bmj.com/content/351/bmj.h4292,https://www.bmj.com/content/345/bmj.e6409
FALSE,TRUE,TRUE,0,184,0,TheBMJ,https://www.bmj.com/content/390/bmj-2024-083882,https://www.bmj.com/content/354/bmj.i5004,https://www.bmj.com/content/340/bmj.c2519
FALSE,TRUE,TRUE,0,184,0,TheBMJ,https://www.bmj.com/content/392/bmj-2025-084831,https://www.bmj.com/content/347/bmj.f7676,https://www.bmj.com/content/305/6866/1403
